iter	Passed	Remaining
0	27	40695
1	61	46163
2	94	47362
3	127	47787
4	161	48227
5	194	48399
6	229	48942
7	262	49047
8	296	49129
9	329	49116
10	363	49252
11	397	49267
12	432	49432
13	465	49460
14	498	49341
15	523	48530
16	556	48581
17	590	48584
18	622	48539
19	654	48400
20	686	48354
21	719	48316
22	751	48228
23	783	48179
24	818	48310
25	851	48286
26	885	48298
27	918	48283
28	950	48222
29	984	48231
30	1017	48214
31	1052	48282
32	1086	48300
33	1120	48329
34	1155	48349
35	1190	48396
36	1225	48448
37	1259	48451
38	1293	48466
39	1327	48469
40	1360	48421
41	1394	48413
42	1429	48448
43	1464	48454
44	1497	48416
45	1530	48382
46	1563	48332
47	1597	48325
48	1629	48255
49	1662	48201
50	1695	48185
51	1728	48140
52	1761	48100
53	1795	48075
54	1830	48079
55	1862	48029
56	1896	48020
57	1930	47995
58	1955	47770
59	1989	47738
60	2021	47686
61	2054	47648
62	2086	47598
63	2119	47547
64	2153	47541
65	2185	47495
66	2218	47448
67	2251	47408
68	2284	47373
69	2301	47008
70	2334	46978
71	2367	46950
72	2400	46922
73	2433	46891
74	2468	46897
75	2501	46867
76	2535	46859
77	2569	46850
78	2602	46811
79	2633	46743
80	2666	46719
81	2698	46670
82	2731	46638
83	2764	46608
84	2797	46574
85	2830	46541
86	2862	46495
87	2894	46449
88	2928	46431
89	2961	46401
90	2993	46347
91	3026	46323
92	3059	46282
93	3092	46259
94	3125	46223
95	3158	46192
96	3192	46175
97	3225	46142
98	3257	46099
99	3290	46066
100	3322	46022
101	3355	45990
102	3387	45951
103	3422	45938
104	3456	45917
105	3488	45880
106	3524	45879
107	3556	45845
108	3592	45847
109	3618	45730
110	3653	45716
111	3688	45709
112	3721	45681
113	3755	45660
114	3789	45640
115	3822	45611
116	3855	45579
117	3872	45357
118	3906	45336
119	3939	45307
120	3971	45260
121	3997	45154
122	4030	45120
123	4064	45097
124	4096	45063
125	4132	45066
126	4165	45034
127	4197	44995
128	4230	44959
129	4262	44918
130	4294	44881
131	4326	44840
132	4351	44729
133	4384	44695
134	4417	44660
135	4448	44619
136	4481	44586
137	4514	44552
138	4547	44524
139	4579	44485
140	4611	44443
141	4644	44413
142	4676	44378
143	4708	44341
144	4742	44314
145	4773	44267
146	4805	44229
147	4837	44187
148	4870	44159
149	4903	44128
150	4935	44095
151	4968	44064
152	5001	44034
153	5034	44001
154	5067	43968
155	5099	43930
156	5131	43892
157	5163	43860
158	5196	43827
159	5228	43788
160	5260	43752
161	5293	43721
162	5326	43691
163	5360	43664
164	5396	43666
165	5430	43643
166	5465	43626
167	5500	43610
168	5532	43575
169	5564	43536
170	5597	43502
171	5631	43482
172	5664	43450
173	5698	43422
174	5730	43387
175	5764	43363
176	5796	43326
177	5829	43292
178	5863	43271
179	5896	43238
180	5928	43203
181	5962	43181
182	5996	43153
183	6032	43146
184	6072	43165
185	6099	43090
186	6134	43070
187	6170	43061
188	6204	43037
189	6238	43011
190	6273	42993
191	6306	42964
192	6341	42942
193	6375	42916
194	6408	42888
195	6442	42864
196	6477	42846
197	6512	42823
198	6546	42800
199	6579	42766
200	6612	42734
201	6646	42707
202	6679	42674
203	6711	42634
204	6748	42628
205	6780	42594
206	6813	42561
207	6845	42519
208	6877	42484
209	6911	42455
210	6945	42427
211	6977	42390
212	7009	42354
213	7042	42322
214	7075	42287
215	7108	42258
216	7141	42226
217	7174	42192
218	7208	42165
219	7241	42135
220	7274	42098
221	7306	42059
222	7339	42026
223	7371	41993
224	7404	41959
225	7437	41928
226	7471	41901
227	7504	41869
228	7537	41836
229	7570	41803
230	7604	41772
231	7636	41737
232	7669	41704
233	7701	41667
234	7739	41660
235	7792	41734
236	7834	41749
237	7866	41711
238	7898	41671
239	7931	41638
240	7963	41602
241	8002	41599
242	8035	41568
243	8068	41532
244	8101	41500
245	8158	41588
246	8198	41591
247	8246	41633
248	8279	41596
249	8312	41562
250	8346	41530
251	8380	41503
252	8413	41469
253	8446	41433
254	8479	41399
255	8512	41364
256	8559	41400
257	8596	41385
258	8639	41398
259	8790	41926
260	8829	41913
261	8864	41888
262	8899	41856
263	8942	41865
264	8980	41853
265	9016	41827
266	9061	41846
267	9107	41866
268	9147	41862
269	9185	41843
270	9220	41813
271	9260	41809
272	9295	41780
273	9329	41744
274	9364	41712
275	9398	41681
276	9433	41651
277	9468	41620
278	9504	41595
279	9540	41570
280	9574	41537
281	9608	41498
282	9643	41468
283	9675	41429
284	9708	41389
285	9742	41354
286	9776	41318
287	9809	41281
288	9843	41249
289	9876	41208
290	9909	41170
291	9943	41135
292	9976	41096
293	10010	41062
294	10044	41028
295	10078	40995
296	10111	40958
297	10146	40927
298	10179	40886
299	10212	40849
300	10244	40808
301	10279	40778
302	10313	40743
303	10347	40708
304	10382	40680
305	10416	40645
306	10451	40613
307	10487	40587
308	10536	40612
309	10571	40580
310	10605	40545
311	10639	40512
312	10674	40480
313	10707	40442
314	10739	40400
315	10772	40363
316	10807	40333
317	10841	40296
318	10874	40258
319	10907	40220
320	10941	40185
321	10974	40150
322	11010	40120
323	11042	40081
324	11076	40047
325	11110	40011
326	11144	39976
327	11178	39943
328	11212	39908
329	11246	39873
330	11279	39836
331	11318	39819
332	11359	39809
333	11392	39772
334	11427	39739
335	11461	39706
336	11496	39675
337	11530	39640
338	11566	39613
339	11603	39588
340	11643	39572
341	11680	39551
342	11717	39526
343	11753	39498
344	11790	39472
345	11826	39444
346	11862	39417
347	11898	39387
348	11933	39356
349	11967	39322
350	12003	39293
351	12039	39264
352	12073	39229
353	12107	39195
354	12144	39170
355	12180	39142
356	12216	39113
357	12251	39083
358	12288	39055
359	12331	39049
360	12380	39063
361	12415	39031
362	12452	39004
363	12487	38972
364	12523	38941
365	12557	38907
366	12592	38875
367	12627	38843
368	12661	38809
369	12695	38773
370	12730	38741
371	12764	38705
372	12801	38678
373	12834	38640
374	12868	38606
375	12903	38572
376	12937	38537
377	12970	38498
378	13003	38462
379	13036	38423
380	13071	38391
381	13105	38356
382	13138	38317
383	13175	38291
384	13209	38257
385	13244	38224
386	13279	38191
387	13313	38156
388	13347	38121
389	13381	38086
390	13416	38052
391	13450	38016
392	13484	37982
393	13517	37945
394	13549	37905
395	13584	37871
396	13617	37835
397	13651	37800
398	13685	37763
399	13719	37727
400	13751	37686
401	13785	37652
402	13819	37617
403	13853	37582
404	13889	37551
405	13924	37520
406	13957	37483
407	13992	37449
408	14026	37415
409	14060	37379
410	14092	37340
411	14126	37305
412	14160	37270
413	14193	37233
414	14228	37198
415	14261	37162
416	14297	37131
417	14332	37098
418	14366	37064
419	14401	37032
420	14441	37012
421	14477	36982
422	14512	36951
423	14549	36922
424	14587	36897
425	14623	36868
426	14659	36838
427	14696	36810
428	14732	36779
429	14768	36749
430	14805	36720
431	14842	36692
432	14878	36662
433	14913	36630
434	14949	36599
435	14985	36570
436	15020	36537
437	15055	36503
438	15089	36468
439	15123	36433
440	15157	36398
441	15192	36366
442	15227	36333
443	15262	36300
444	15302	36278
445	15337	36245
446	15372	36213
447	15430	36233
448	15469	36209
449	15508	36187
450	15553	36177
451	15595	36159
452	15634	36135
453	15668	36098
454	15704	36068
455	15740	36037
456	15777	36009
457	15813	35977
458	15848	35944
459	15881	35905
460	15915	35869
461	15948	35832
462	15983	35799
463	16017	35763
464	16051	35727
465	16084	35690
466	16119	35655
467	16153	35620
468	16187	35584
469	16220	35547
470	16253	35509
471	16287	35473
472	16319	35434
473	16353	35397
474	16387	35362
475	16422	35329
476	16456	35293
477	16489	35255
478	16523	35220
